구분,투입,산출,산출,산출,효율성,효율성,효율성,효율성,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,투입과다분,투영점,준거 및 참조,준거 및 참조
DMU,X1,Y1,Y2,Y3,CRS,VRS,SE,규모수익,λ1,λ2,λ3,λ4,λ5,λ6,λ7,λ8,λ9,λ10,λ11,λ12,λ13,λ14,λ15,λ16,λ17,λ18,λ19,λ20,λ21,λ22,λ23,λ24,λ25,λ26,λ27,λ28,λ29,λ30,λ31,λ32,λ33,λ34,λ35,λ36,λ37,λ38,λ39,λ40,λ41,λ42,λ43,λ44,λ45,λ46,λ47,λ48,λ49,Sm1,Sp1,Sp2,Sp3,X1,X1,준거집단,참조횟수
박세혁,10000,63,58,123,0.4069,0.8767,0.4641,DRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8667,0,0,0,0,0,0,24.0667,23.5333,1234.15,8765.85,"20,45",0
강백호,12000,65,72,147,0.3516,0.8238,0.4268,DRS,0,0,0,0,0,0,0,0,0,0,0,0,0.0324,0,0,0,0,0,0,0.1439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8237,0,0,0,0,0,0,10.9322,0,2115.85,9884.15,"13,20,45",0
이성열,32000,85,60,106,0.1715,0.6483,0.2645,DRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3778,0,0,0,0,0,0,18.6444,35.1556,11256.1,20743.9,"20,45",0
이원석,30000,76,44,97,0.1636,0.5281,0.3098,DRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5778,0,0,0,0,0,0,36.0444,46.3556,14156.1,15843.9,"20,45",0
이형종,17000,63,56,120,0.2393,0.5157,0.464,DRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8667,0,0,0,0,0,0,26.0667,26.5333,8234.15,8765.85,"20,45",0
채은성,31000,72,59,148,0.15,0.4445,0.3375,DRS,0,0,0,0,0,0,0,0,0,0,0,0,0.1243,0,0,0,0,0,0,0.2035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6722,0,0,0,0,0,0,26.1816,0,17220.3,13779.7,"13,20,45",0
구자욱,30000,71,66,127,0.1528,0.4374,0.3493,DRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6889,0,0,0,0,0,0,14.8222,17.5778,16878.05,13121.95,"20,45",0
전준우,50000,83,85,164,0.1072,0.4367,0.2455,DRS,0,0,0,0,0,0,0,0,0,0,0,0,0.5185,0,0,0,0,0,0,0,0,0,0,0.1481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0,0,0,0,0,0,14.2222,0,28168.55,21831.45,"13,24,45",0
오선진,7500,36,37,88,0.3368,0.4133,0.8149,IRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,20,20,4400,3100,49,0
유한준,60000,86,61,159,0.0926,0.3641,0.2543,DRS,0,0,0,0,0,0,0,0,0,0,0,0,0.6134,0,0,0,0,0,0,0.0038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3828,0,0,0,0,0,0,39.7626,0,38151.8,21848.2,"13,20,45",0
