선수명,IP,E,March_score,kWAR_score,AHP_score
아수아헤,0.7954958278435734,3.0,4.706,0.471,0.097
안상현,-0.16050516532683035,6.0,-1.497,-0.196,-0.065
안승한,-0.18094698952440183,2.0,-1.417,-0.177,-0.066
안중열,0.7808493686637935,5.0,6.147,0.768,0.284
안치영,-1.1857573079114219,0.0,-5.947,-0.711,-0.147
안치홍,1.7154499425673266,11.0,11.301,1.198,0.241
양성우,-0.746683064207792,0.0,-0.5129999999999999,-0.032,-0.006
양의지,2.031876679504692,2.0,16.206,2.026,0.75
양종민,-1.4118520078574952,4.0,-5.599,-0.5,-0.11499999999999999
예진원,-1.167449233936697,0.0,-2.6260000000000003,-0.234,-0.042
오선우,-1.4081903930625503,0.0,-1.689,-0.039,-0.02
오선진,1.7444599453850689,12.0,14.009,1.566,0.475
오윤석,-0.08272245344042051,5.0,-0.863,-0.27099999999999996,-0.04599999999999999
오재원,0.5388632605076592,7.0,5.486000000000001,0.67,0.125
오재일,3.206046695799696,4.0,6.386,0.0,0.07
오정환,-2.1884338760755955,1.0,-5.889,-0.5740000000000001,-0.131
오준혁,-0.6130175353279084,0.0,0.0,0.0,0.0
오지환,3.414758739111559,12.0,23.449,2.68,0.734
오태곤,0.43939721381256147,9.0,-0.03200000000000003,-0.46399999999999997,-0.046
윌리엄슨,-0.7649911381825168,2.0,-2.316,-0.261,-0.044
윌슨,0.1077181320446674,4.0,-0.34999999999999964,0.186,0.03399999999999999
유강남,2.92897230426621,7.0,23.244,2.906,1.075
유민상,0.42688106643646323,3.0,0.845,0.0,0.009
유영준,-1.196742152296257,0.0,-3.612,-0.366,-0.089
유장혁,-0.7305087404559139,0.0,-2.177,-0.242,-0.041
유재신,-1.8967130253623297,1.0,-4.883,-0.37,-0.07700000000000001
유한준,0.189801522105555,2.0,1.916,0.153,0.028
윤석민,-0.10312766149004265,5.0,-0.431,-0.076,-0.015
윤수강,-0.5947094613531835,1.0,-3.806,-0.476,-0.176
윤진호,-0.9334254187499855,2.0,-5.351,-0.625,-0.152
윤해진,-0.6056943057380184,0.0,0.0,0.0,0.0
이대형,-1.2113886114760368,0.0,-3.32,-0.362,-0.062
이대호,-0.07596849335332959,1.0,-0.151,0.0,-0.002
이동훈,-1.5851928522501904,0.0,-4.2410000000000005,-0.42099999999999993,-0.07300000000000001
이명기,1.911685893070206,2.0,4.4670000000000005,0.40800000000000003,0.07300000000000001
이범호,-1.1784340783215321,0.0,-3.553,-0.359,-0.087
이상호,-1.168371212858047,5.0,-1.859,-0.249,-0.041999999999999996
이성곤,-1.0868937084479078,0.0,-2.425,-0.21800000000000003,-0.039
이성규,-1.5497850371830724,3.0,-8.177,-0.9480000000000001,-0.22299999999999998
이성열,0.16751230164611874,5.0,1.88,0.156,0.027
이성우,0.15225995681559046,3.0,1.195,0.149,0.055
이우성,-0.8675163524409759,1.0,-1.3439999999999999,-0.161,-0.025999999999999995
이원석,-0.37746241714993367,13.0,3.979,0.7759999999999999,0.17300000000000001
이원재,0.08574844327499742,4.0,-0.1449999999999998,-0.129,-0.008
이유찬,-1.1100717300999094,1.0,-5.291,-0.645,-0.134
이인행,-0.48119940270988937,0.0,-1.203,-0.096,-0.017
이인혁,-1.7731435396747157,0.0,-3.4979999999999998,-0.351,-0.06
이재원,3.1950618514148608,6.0,25.407,3.176,1.175
이정후,2.331526645458596,2.0,5.667,0.573,0.1
이정훈,-0.49950747668461426,0.0,-3.996,-0.5,-0.185
이준수,-0.0979381821229994,2.0,-0.769,-0.096,-0.036
이지영,1.5985978008188537,3.0,12.712,1.589,0.588
이진영,-1.703572858570761,0.0,-4.551,-0.45799999999999996,-0.079
이찬건,-0.5947094613531835,0.0,-2.081,-0.238,-0.04
이창열,-1.7951132284443854,0.0,-2.335,-0.35,-0.072
이창진,1.8750331289728068,5.0,7.334,0.8769999999999999,0.136
이천웅,2.0691353292528403,1.0,8.587,1.047,0.173
이학주,2.2024447102950075,19.0,17.62,2.152,0.576
이해창,-0.23832449336118952,1.0,-1.882,-0.235,-0.087
이현동,-0.5910478465582385,1.0,-0.986,-0.079,-0.014
이현석,-0.5837246169683485,0.0,-4.67,-0.584,-0.216
이형종,0.30267251736931616,2.0,0.7669999999999998,0.18,0.019
이흥련,-0.283472203782861,0.0,-2.268,-0.283,-0.105
임병욱,2.6958739064200126,4.0,9.294,1.062,0.178
임재현,-1.193080537501312,0.0,-1.197,-0.12,-0.022
임지열,-1.1235098563973573,2.0,-2.747,-0.262,-0.065
장성우,2.7215052099846275,5.0,21.62,2.702,1.0
장승현,-0.18094698952440183,0.0,-1.448,-0.181,-0.067
장영석,1.4481520625363435,10.0,5.1739999999999995,0.719,0.153
장운호,-1.1418179303720821,0.0,-2.572,-0.228,-0.041
장진혁,0.8692973932452717,3.0,2.633,0.30400000000000005,0.052
전민수,-1.3703659122307688,0.0,-3.832,-0.395,-0.068
전민재,-0.6130175353279084,0.0,-2.452,-0.368,-0.076
전병우,-2.0981384552322524,2.0,-9.938,-1.092,-0.266
전준우,3.032422935865184,4.0,5.118,0.484,0.09
전준호,-0.528800395044174,0.0,-4.23,-0.529,-0.196
정근우,0.8134843701285317,6.0,2.58,0.263,0.047
정범모,-0.23953282624352135,1.0,-1.895,-0.237,-0.088
정병곤,-1.565639829245184,1.0,-8.401,-1.009,-0.23399999999999999
정보근,-0.2883421514601378,0.0,-2.307,-0.288,-0.107
정상호,-0.38233580324637517,0.0,-3.059,-0.382,-0.141
