선수명,타석,타수,안타,단타,2루타,3루타,홈런,득점,타점,볼넷,고4,HBP,삼진,희플,희타,병살,도루,도실,OBP,SLG,OPS,GPA,SECA,TA,RC,RC27,XR,ISO,PSN,wOBA,OW%,BABIP
양의지,2466,2117,698,449,125,4,120,359,447,251,23,65,243,31,33,65,18,7,0.411525974025974,0.5625885687293339,0.974114542755308,0.3258338304940218,0.47425602267359473,1.02280348759222,435.88684560138836,16.143957244495866,456.91600000000005,0.2328767123287671,31.304347826086957,0.76383162638263,0.6145260264738471,0.3238095238095238
김민성,2155,1903,503,348,108,1,46,213,259,179,9,29,388,23,44,48,8,6,0.3331771321462043,0.394640042038886,0.7278171741850903,0.24858971997551343,0.3068838675775092,0.6650618982118295,207.73535996326905,7.693902220861816,251.87599999999998,0.1303205465055176,13.62962962962963,0.6799143529411763,0.26583502914503776,0.3063002680965147
박민우,2183,1914,643,498,101,26,18,353,206,177,6,52,213,25,39,38,71,22,0.4022140221402214,0.4440961337513062,0.8463101558915276,0.2920203434009262,0.3019853709508882,0.8640120210368144,333.6754172078738,12.358348785476808,338.39599999999996,0.10815047021943575,28.719101123595507,0.7022349676225718,0.4829939806292276,0.3659250585480094
나성범,2493,2242,714,431,156,9,118,443,417,190,18,48,576,13,13,32,38,13,0.38186923385479343,0.5539696699375558,0.9358389037923492,0.310333572719046,0.4576271186440678,0.965034965034965,383.3869722532586,14.19951749086143,440.4420000000002,0.23550401427297063,57.48717948717949,0.7529010101010102,0.5522342097979756,0.381806534272902
김혜성,2065,1852,527,413,77,22,15,316,206,174,5,10,401,20,29,24,121,20,0.3458171206225681,0.3741900647948164,0.7200071854173845,0.24916522047885975,0.2996760259179266,0.7289992695398101,223.05288808952855,8.261218077389946,261.132,0.08963282937365014,26.691176470588236,0.6561974646513896,0.29451201544800215,0.3516483516483517
김강민,1517,1352,350,242,56,5,47,207,186,120,6,24,324,8,21,19,44,27,0.32845744680851063,0.4119822485207101,0.7404396953292207,0.2508014131940073,0.3343195266272189,0.7108778625954199,147.57553282331492,5.465760474937589,185.89800000000005,0.15310650887573968,45.45054945054945,0.8021141522029372,0.15450347186691882,0.3063700707785642
송성문,937,841,218,153,41,7,17,109,120,78,0,2,160,7,16,11,4,6,0.32112068965517243,0.38525564803804996,0.7063763376932224,0.24081822235434008,0.29369797859690844,0.6375,88.72408467514117,3.2860772101904137,105.59000000000005,0.1260404280618312,6.476190476190476,1.034310344827586,0.061958755232880074,0.2995529061102832
로맥,2628,2231,610,345,109,1,155,386,409,345,11,32,554,20,20,38,22,11,0.3755707762557078,0.5316001792917974,0.9071709555475052,0.30190689413801786,0.5365307037203048,0.9491017964071856,374.86992139979793,13.884071162955479,446.6680000000001,0.2581801882563872,38.53107344632768,0.7219801299197554,0.5410996618478677,0.29507133592736706
최정,2730,2227,625,344,100,3,178,452,482,357,22,109,528,36,37,37,28,18,0.3997801392451447,0.5680287382128424,0.9678088774579872,0.32190824721352573,0.5783565334530759,1.0615570307785154,437.51763271471054,16.2043567672115,511.88599999999997,0.28738212842388866,48.38834951456311,0.7375851496121166,0.6162937093699342,0.28709055876685935
한유섬,2228,1898,525,299,95,3,128,319,366,244,14,66,448,19,20,43,9,5,0.3749438706780422,0.5321390937829295,0.9070829644609717,0.3017595152508513,0.5052687038988409,0.9352568613652358,316.838488048262,11.734758816602296,374.2659999999999,0.255532139093783,16.817518248175183,0.7640700406687754,0.4572041006459996,0.2960477255779269
권희동,1955,1642,446,315,75,3,53,244,260,224,5,43,304,22,46,37,12,6,0.36923873640600724,0.4177831912302071,0.7870219276362143,0.27060322919025503,0.36601705237515225,0.7788539144471348,233.0637218007082,8.631989696322526,267.72799999999995,0.14616321559074302,19.56923076923077,0.7323203530633436,0.31307895290364496,0.3006885998469778
김성현,2029,1801,483,389,73,4,17,202,180,155,1,20,169,15,50,59,20,7,0.3304871923656454,0.34147695724597443,0.6719641496116198,0.23408847587603404,0.21876735147140478,0.5852601156069365,190.85216484294165,7.068598697886728,202.21800000000002,0.07329261521377012,18.37837837837838,0.6545909547738693,0.2340845315586348,0.28588957055214725
이재원,1887,1665,448,326,79,0,43,175,225,141,9,40,250,19,40,64,1,3,0.3372654155495979,0.393993993993994,0.7312594095435918,0.25026793549581755,0.2816816816816817,0.6526479750778816,188.49368328958872,6.981247529244026,215.17000000000004,0.12492492492492491,1.9545454545454546,0.7186993534482758,0.2296552685353016,0.291157440690151
모창민,1382,1243,373,254,66,7,46,161,220,100,4,8,217,26,31,29,14,12,0.3493100944081336,0.4754625905068383,0.8247726849149719,0.2760551901103697,0.35317779565567176,0.7826564215148188,177.14657499999998,6.560984259259259,203.17400000000004,0.1753821399839099,21.466666666666665,0.8804253459577568,0.20842707949297268,0.3250497017892644
이명기,2333,2064,633,500,99,15,19,341,200,203,5,15,292,11,49,25,52,26,0.3711295246402093,0.39680232558139533,0.7679318502216046,0.266208867483443,0.2655038759689923,0.7348178137651822,290.1924244805009,10.747867573351884,304.60400000000004,0.09011627906976744,27.830985915492956,0.6559309440559441,0.41403748994798223,0.34807256235827666
