선수명,IP,E,March_score,kWAR_score,AHP_score,팀명
허도환,242.33,2.0,1923.131,240.391,88.945,SK
허일,163.32999999999998,1.0,465.352,46.765,8.3,롯데
허정협,107.0,0.0,229.0,21.4,3.852,키움
호잉,1040.34,2.0,3014.803,293.225,50.612,한화
홍재호,49.0,1.0,290.92,29.792,6.533,KIA
홍창기,52.0,0.0,136.5,13.4,2.337,LG
황대인,48.0,0.0,100.0,1.2,1.26,KIA
황윤호,297.67,6.0,1534.647,177.799,38.623000000000005,KIA
황재균,1026.67,11.0,4123.564,602.866,127.589,KT
황진수,10.33,0.0,37.32,5.598,1.157,롯데
