Name,March_score,kWAR_score,AHP_score,GEN,POW,SPD,연차,20연봉
,,,12.217,,,,,
,,,18.121,,,,,
,,,15.907,,,,,
,,,7.775,,,,,
,,,14.805,,,,,
,,,5.898,,,,,
,,,24.005,,,,,
,,,57.162,,,,,
,,,68.942,,,,,
,,,31.589,,,,,
,,,7.509,,,,,
,,,7.587,,,,,
,,,0.216,,,,,
,,,1.039,,,,,
,,,1.63,,,,,
,,,0.572,,,,,
,,,46.499,,,,,
,,,45.626,,,,,
,,,5.818,,,,,
,,,375.739,,,,,
,,,136.681,,,,,
,,,0.51,,,,,
,,,3.736,,,,,
,,,61.687,,,,,
,,,9.424,,,,,
,,,9.612,,,,,
,,,34.752,,,,,
,,,12.6,,,,,
,,,0.144,,,,,
,,,26.998,,,,,
,,,5.609,,,,,
,,,2.505,,,,,
,,,7.598,,,,,
,,,27.204,,,,,
,,,41.076,,,,,
,,,257.662,,,,,
,,,14.43,,,,,
,,,5.105,,,,,
,,,130.418,,,,,
,,,88.945,,,,,
,,,8.3,,,,,
,,,3.852,,,,,
,,,50.612,,,,,
,,,6.533,,,,,
,,,2.337,,,,,
,,,1.26,,,,,
,,,38.623,,,,,
,,,127.589,,,,,
,,,1.157,,,,,
