Name,OPS,XR,FPCT,팀명,20연봉
전병우,0.2658,-0.536,0.975,롯데,2900
전준우,0.83941,89.202,0.983935743,롯데,50000
정근우,0.68823,30.046,0.97993311,한화,35000
정범모,0.67907,4.65,0.989473684,NC,5500
정보근,0.325,-0.32,1.0,롯데,2900
정상호,0.20833,-1.958,1.0,LG,7000
정수빈,0.6847,59.07,0.990291262,두산,34000
정은원,0.69127,69.292,0.982264666,한화,12000
정의윤,0.78947,55.51,0.985714286,SK,30000
정주현,0.59946,32.872,0.975425331,LG,12500
정진기,0.42279,0.654,1.0,SK,4600
정진호,0.5293,7.288,1.0,두산,11300
정현,0.27895,0.114,1.0,SK,3000
정훈,0.61367,19.394,0.985765125,롯데,6400
조용호,0.72002,24.726,1.0,KT,7000
주효상,0.57816,2.194,0.983333333,키움,4000
지석훈,0.62826,13.844,0.970238095,NC,12500
지성준,0.64979,9.602,1.0,한화,5700
채은성,0.79202,71.764,0.989690722,LG,32000
채태인,0.70938,19.73,0.997252747,롯데,10000
최민재,0.0,-0.18,1.0,SK,2800
최선호,0.54167,0.91,1.0,삼성,3800
최승민,1.05556,2.534,1.0,NC,3000
최승준,0.51894,1.2,1.0,SK,4000
최영진,0.67437,27.244,0.979112272,삼성,8000
최원준,0.54535,16.762,0.960264901,KIA,7000
최재훈,0.76014,55.892,0.993103448,한화,20000
최정,0.91823,107.064,0.955974843,SK,120000
최정민,0.0,-0.466,1.0,KIA,3500
최정용,0.57143,1.57,0.95,KIA,3600
최주환,0.69722,37.53,0.989795918,두산,27000
최준우,0.55051,1.856,1.0,SK,3100
최진행,0.73047,15.136,1.0,한화,16000
최항,0.58963,12.368,0.983333333,SK,7500
최형우,0.89726,90.714,1.0,KIA,150000
추재현,0.0,-0.09,1.0,키움,2700
하주석,0.63158,1.318,0.913043478,한화,14000
한동민,0.77029,65.72,0.977900552,SK,25000
한동희,0.55395,14.924,0.945121951,롯데,4700
한승택,0.60172,22.804,0.991680532,KIA,8000
한준수,0.7,1.424,1.0,KIA,2900
허경민,0.72062,63.402,0.972508591,두산,48000
허도환,0.40478,2.436,0.991631799,SK,6500
허일,0.61683,14.696,0.977272727,롯데,4100
허정협,0.56169,6.108,1.0,키움,3500
홍창기,0.64103,2.574,1.0,LG,3800
황대인,0.56571,2.096,1.0,KIA,3000
황윤호,0.72396,14.874,0.955882353,KIA,5000
황재균,0.82352,73.872,0.970350404,KT,120000
