#,선수명,팀명,경기,타석,타수,안타,단타,2루타,3루타,홈런,득점,타점,볼넷,고4,HBP,삼진,희플,희타,병살,도루,도실,타율,OBP,SLG,OPS,GPA,SECA,TA,RC,RC27,XR,ISO,PSN,wOBA,OW%,BABIP
28,김혜성,Hero,2,10,7,2,2,0,0,0,4,0,3,0,0,1,0,0,1,0,1,0.286,0.5,0.2857142857142857,0.7857142857142857,0.29642857142857143,0.2857142857142857,0.7142857142857143,0.815999999999999,0.03022222222222218,0.8719999999999998,0.0,,1.3661,,0.3333333333333333
29,문성주,LG,3,13,11,3,2,1,0,0,0,3,2,0,0,4,0,0,0,0,0,0.273,0.38461538461538464,0.36363636363636365,0.7482517482517483,0.263986013986014,0.36363636363636365,0.75,1.2701196581196577,0.04704146881924658,1.6480000000000001,0.09090909090909094,,1.1651538461538462,,0.42857142857142855
30,배정대,KT,4,17,15,4,3,0,0,1,2,2,2,0,0,5,0,0,0,1,0,0.267,0.35294117647058826,0.4666666666666667,0.8196078431372549,0.2754901960784314,0.4666666666666667,0.9090909090909091,2.1894352941176436,0.08109019607843125,2.7700000000000005,0.2,1.0,0.9935882352941175,,0.3333333333333333
31,박건우,두산,11,51,46,12,9,3,0,0,7,3,4,0,1,9,0,0,3,2,0,0.261,0.3333333333333333,0.32608695652173914,0.6594202898550725,0.23152173913043478,0.2608695652173913,0.5945945945945946,3.735633115468403,0.13835678205438529,4.478,0.06521739130434784,0.0,0.5459019607843137,,0.32432432432432434
32,장성우,KT,4,17,16,4,3,1,0,0,0,4,0,0,0,3,1,1,1,0,0,0.25,0.23529411764705882,0.3125,0.5477941176470589,0.18400735294117648,0.125,0.38461538461538464,0.5828629629629631,0.02158751714677641,1.1559999999999997,0.0625,,0.8624117647058824,,0.2857142857142857
33,서건창,LG,3,13,8,2,2,0,0,0,1,1,3,0,0,1,0,2,0,1,0,0.25,0.45454545454545453,0.25,0.7045454545454546,0.26704545454545453,0.5,1.0,1.6649162393162396,0.061663564419119986,1.7320000000000002,0.0,0.0,1.241909090909091,,0.2857142857142857
34,박경수,KT,3,9,8,2,1,0,0,1,2,1,1,0,0,5,0,0,0,0,0,0.25,0.3333333333333333,0.625,0.9583333333333333,0.30625,0.625,1.0,1.055148148148147,0.03907956104252396,1.7,0.375,0.0,1.602,,0.5
35,이지영,Hero,2,5,4,1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0.25,0.4,0.25,0.65,0.24250000000000002,0.25,0.6666666666666666,0.6068888888888893,0.022477366255144047,0.5700000000000001,0.0,,2.2782,,0.25
36,피렐라,삼성,2,9,9,2,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0.222,0.2222222222222222,0.4444444444444444,0.6666666666666666,0.21111111111111108,0.4444444444444444,0.5714285714285714,0.6349135802469128,0.023515317786922698,0.8019999999999999,0.2222222222222222,,1.5733333333333333,,0.25
37,김재호,두산,9,16,10,2,1,0,1,0,3,3,5,0,0,2,1,1,0,0,0,0.2,0.4375,0.4,0.8375,0.296875,0.8,1.125,2.4387986928104546,0.09032587751149831,2.914,0.2,,0.9399375000000001,,0.2222222222222222
38,조용호,KT,4,16,10,2,2,0,0,0,2,2,4,0,0,1,0,2,1,0,0,0.2,0.42857142857142855,0.2,0.6285714285714286,0.24285714285714283,0.4,0.6666666666666666,1.2704138888888892,0.04705236625514404,1.3420000000000005,0.0,,1.0250000000000001,,0.2222222222222222
39,박해민,삼성,2,10,10,2,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0.2,0.2,0.4,0.6000000000000001,0.19,0.3,0.5,0.748555555555555,0.027724279835390924,0.812,0.2,,1.1594000000000002,,0.2222222222222222
40,이영빈,LG,2,5,5,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0.2,0.2,0.4,0.6000000000000001,0.19,0.4,0.5,0.20599999999999952,0.007629629629629612,0.352,0.2,,2.397,,0.25
41,양석환,두산,11,49,47,9,8,1,0,0,2,6,1,0,0,15,1,1,1,1,0,0.191,0.20408163265306123,0.2127659574468085,0.4168475900998697,0.1450282240555797,0.0851063829787234,0.3076923076923077,-0.14928000000000452,-0.005528888888889056,1.7399999999999998,0.021276595744680854,0.0,0.40428571428571436,,0.2727272727272727
42,유한준,KT,4,17,12,2,1,1,0,0,2,1,4,0,1,0,0,0,1,0,0,0.167,0.4117647058823529,0.25,0.6617647058823529,0.24779411764705883,0.5,0.7272727272727273,1.6045882352941163,0.05942919389978209,1.65,0.08333333333333334,,0.9620588235294117,,0.16666666666666666
43,신본기,KT,3,7,6,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0.167,0.16666666666666666,0.6666666666666666,0.8333333333333333,0.24166666666666664,0.6666666666666666,0.8,0.7131999999999996,0.0264148148148148,1.022,0.5,0.0,2.1395,,0.0
44,홍창기,LG,3,15,14,2,2,0,0,0,2,0,1,0,0,3,0,0,0,0,1,0.143,0.2,0.14285714285714285,0.34285714285714286,0.12571428571428572,0.0,0.23076923076923078,-0.45614814814814686,-0.016894375857338773,-0.08399999999999996,0.0,,0.8188666666666667,,0.18181818181818182
45,김현수,LG,3,14,14,2,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0.143,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.09999999999999999,0.0,0.16666666666666666,-0.32365079365079197,-0.011987066431510814,-0.09599999999999992,0.0,,0.8281428571428572,,0.16666666666666666
46,김인태,두산,6,8,8,1,0,1,0,0,0,2,0,0,0,3,0,0,2,0,0,0.125,0.125,0.25,0.375,0.11875,0.25,0.2222222222222222,-1.0094722222222225,-0.03738786008230454,-0.674,0.125,,1.498125,,0.2
47,크레익,Hero,2,8,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0.125,0.25,0.0875,0.0,0.14285714285714285,-0.15104166666666696,-0.005594135802469147,-0.13,0.0,,1.33775,,0.125
48,박계범,두산,10,26,25,3,2,1,0,0,5,0,1,0,0,8,0,0,0,0,0,0.12,0.15384615384615385,0.16,0.3138461538461539,0.10923076923076924,0.12,0.22727272727272727,-0.974393162393163,-0.03608863564419122,0.016000000000000014,0.04000000000000001,,0.5560769230769231,,0.17647058823529413
49,오재일,삼성,2,10,9,1,1,0,0,0,0,2,1,0,0,3,0,0,1,0,0,0.111,0.2,0.1111111111111111,0.3111111111111111,0.11777777777777779,0.1111111111111111,0.2222222222222222,-0.6069444444444443,-0.02247942386831275,-0.2739999999999999,0.0,,1.1391,,0.16666666666666666
50,구본혁,LG,3,8,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9066666666666672,-0.03358024691358027,-0.728,0.0,,1.22625,,0.0
51,강민호,삼성,2,8,5,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0.375,0.0,0.375,0.16875,0.2,0.6,0.34491666666666543,0.012774691358024646,0.562,0.0,,1.4928750000000002,,0.0
52,변상권,Hero,2,5,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7133333333333338,-0.02641975308641977,-0.466,0.0,,1.9620000000000002,,0.0
53,박동원,Hero,2,5,4,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.44426666666666836,-0.016454320987654383,0.042,0.0,,1.9620000000000002,,0.0
54,송민섭,KT,4,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,-0.5,0.0,-0.617777777777778,-0.022880658436214,-0.508,0.0,,4.905,,0.0
55,최용제,두산,3,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30666666666666687,-0.011358024691358033,-0.188,0.0,,4.905,,0.0
56,최영진,삼성,2,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30666666666666687,-0.011358024691358033,-0.188,0.0,,4.905,,0.0
57,김민수,삼성,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20000000000000018,-0.007407407407407414,-0.18,0.0,,4.905,,0.0
