Name,P1,P2,P3,Sal,LogSal,kWAR_score
강로한,33.94954993201811,0.04549044936668372,0.033414607326782385,2900,7.9724660159745655,449.717
정근우,39.807230946593535,0.022235961132814404,0.006864534497298487,70000,11.156250521031495,137.831
한승택,25.474756638823678,0.009987699129342359,0.02861010867340972,6000,8.699514748210191,696.384
이원재,40.09358762846764,-0.002258485123954287,0.01712877537269515,5000,8.517193191416238,31.934
최영진,34.882947608748054,0.028685416109632513,0.011706350889047609,5300,8.575462099540212,196.761
이상호,27.134928838003376,-0.017484808823360756,0.0051532159076246855,8000,8.987196820661973,195.358
최원준,19.09491285254495,0.013632337172507704,0.01889059785852457,10000,9.210340371976184,224.517
김규민,28.71631414759096,0.014889236238759464,0.022123719336225065,5800,8.66561319653451,104.586
나주환,18.97623077021012,0.010410944251091514,0.01830986032554047,32000,10.373491181781864,278.04200000000003
박승욱,24.883749572777905,0.024994616686452777,0.012434448619393038,6600,8.794824928014517,181.675
오윤석,19.676378867795417,-0.007272844137958134,0.016802260375553272,3000,8.006367567650246,112.623
정훈,23.60165570536538,0.018314214320828578,0.014377341305829173,8000,8.987196820661973,63.381
박용택,31.098467374577822,-0.0033522535821245173,0.006225694545217449,80000,11.289781913656018,4.934
김동엽,21.956943436977095,0.024484291731085184,0.01752357347683925,18500,9.825526011066415,25.232
조용호,33.65622230616705,-0.02299926604628609,0.0032208896939992736,4000,8.294049640102028,84.934
김용의,23.120814443913343,-0.011126418710055576,0.01351522056484073,8500,9.047821442478408,14.4
나종덕,-2.0084415075410282,0.01674562586789344,0.03701101898404407,4300,8.366370301681654,551.103
한동희,15.969661877121748,0.012188761414443323,0.0218055265920737,4900,8.496990484098719,193.044
오재원,14.822720122749224,0.041080329297474065,0.018510814845935076,55000,10.915088464214607,281.48
박계범,30.436757314021428,0.03303609076835053,0.014482241540101732,3000,8.006367567650246,278.591
유민상,38.29757544866984,-0.02374958163397365,0.009514422385365082,4300,8.366370301681654,0.0
채태인,23.615979334690675,-0.00967248229023158,0.017902515140432784,20000,9.903487552536127,0.0
윤석민,14.826222448000017,-0.007139782312454246,0.00868020088731122,24000,10.085809109330082,69.633
지석훈,16.074254150900597,-0.005488424284642982,0.014854709196932277,15000,9.615805480084347,250.27
이우성,19.180319072079953,-0.006551303337588683,0.017703507634996094,4000,8.294049640102028,56.394000000000005
허일,18.988527258830917,0.0034311390231919698,0.005942981439351926,3000,8.006367567650246,46.765
김찬형,20.928116695523887,0.0030089243506106213,0.0038725466773535167,4300,8.366370301681654,286.502
나지완,18.30109315806638,-0.005551650109338697,0.01859435896340252,60000,11.002099841204238,15.6
최항,15.466573338579076,-0.007897601098221742,0.007982889621137598,11000,9.305650551780507,164.64
