,index,타석,안타,홈런,득점,타점,도루,OPS,WAR,DC,팀명,Salary_19
65,김태진NC,399,103,5,44,46,12,0.685,0.4,262.562,NC,3300
78,남태혁SK,24,5,0,1,1,0,0.519,-0.13,0,SK,3300
135,송민섭KT,64,16,0,24,4,1,0.737,0.18,44.464,KT,3300
184,이성규삼성,46,11,2,3,7,1,0.746,0.14,53.231,삼성,3300
192,이인행KIA,20,3,0,1,2,0,0.566,-0.04,7.4,KIA,3300
6,강진성NC,104,24,2,11,14,2,0.669,-0.06,26.609,NC,3200
64,김태연한화,6,1,0,0,0,0,1,0.1,5.55,한화,3200
69,김형준NC,119,24,2,13,9,0,0.605,0.1,285.523,NC,3200
141,신범수KIA,65,12,2,4,7,0,0.712,0.3,125.657,KIA,3200
174,윤수강NC,4,1,0,0,0,0,0.5,-0.02,4.8,NC,3200
183,이성곤삼성,28,5,0,1,0,0,0.465,-0.31,8,삼성,3200
211,임재현SK,3,2,0,1,0,0,1.334,0.08,1,SK,3200
278,황대인KIA,28,5,0,0,0,0,0.566,-0.11,1.2,KIA,3200
90,문상철KT,68,12,2,8,7,2,0.582,-0.27,0,KT,3100
122,백승현LG,30,5,0,1,0,1,0.367,-0.32,48.56,LG,3100
130,서예일두산,3,0,0,0,0,0,0,-0.08,7.8,두산,3100
197,이준수KT,49,7,0,3,3,0,0.592,0.24,138.978,KT,3100
202,이창진KIA,470,108,6,57,48,8,0.746,2.33,406.937,KIA,3100
37,김영환KT,15,1,0,1,0,0,0.204,-0.25,18.4,KT,3000
43,김인환한화,46,9,0,1,2,0,0.477,-0.42,0,한화,3000
60,김창혁한화,2,0,0,0,0,0,0,-0.05,6,한화,3000
71,김호재삼성,33,7,0,1,0,0,0.492,-0.23,53.6,삼성,3000
95,박계범삼성,204,43,4,26,25,5,0.741,1.18,278.591,삼성,3000
109,박준혁한화,2,0,0,0,0,0,0,-0.06,0,한화,3000
116,박헌욱NC,9,1,0,0,1,0,0.333,-0.14,8,NC,3000
147,안상현SK,108,24,0,14,5,7,0.527,-0.46,178.25,SK,3000
154,양종민LG,49,6,0,1,5,0,0.352,-0.61,52.629,LG,3000
158,오윤석롯데,228,44,1,21,21,0,0.542,-0.94,112.623,롯데,3000
196,이정훈KIA,15,4,0,0,3,0,0.624,0,32,KIA,3000
214,장승현두산,46,7,0,3,3,0,0.459,-0.21,119,두산,3000
273,허일롯데,162,38,1,14,17,2,0.617,-0.2,46.765,롯데,3000
1,강로한롯데,306,69,4,38,25,7,0.654,0.39,449.717,롯데,2900
41,김응민삼성,13,3,0,0,0,0,0.539,-0.04,29.33,삼성,2900
44,김재성LG,7,1,0,0,1,0,0.629,0.06,17,LG,2900
138,송준석삼성,56,12,1,6,4,0,0.626,-0.13,25.18,삼성,2900
