선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
오선진,한화,유격수,120,113,954.67,12,0,160,303,69,0.975 ,0,0,0,-
오윤석,롯데,3루수,5,1,15.33,1,0,3,3,0,0.857 ,0,0,0,-
오윤석,롯데,2루수,30,24,176.33,1,0,44,60,12,0.990 ,0,0,0,-
오윤석,롯데,1루수,55,26,291,3,0,231,23,26,0.988 ,0,0,0,-
오재원,두산,1루수,2,0,3.33,0,0,4,0,0,1.000 ,0,0,0,-
오재원,두산,2루수,88,44,480.67,7,0,122,160,45,0.976 ,0,0,0,-
오재일,두산,1루수,126,119,1044,4,0,1031,76,100,0.996 ,0,0,0,-
오정환,KIA,유격수,1,0,1,0,0,0,0,0,-,0,0,0,-
오정환,KIA,1루수,2,0,4,0,0,5,0,1,1.000 ,0,0,0,-
오정환,KIA,3루수,7,2,24.67,0,0,1,2,0,1.000 ,0,0,0,-
오정환,KIA,2루수,13,3,46.33,1,0,8,17,3,0.962 ,0,0,0,-
오준혁,SK,좌익수,1,0,1,0,0,0,0,0,-,0,0,0,-
오지환,LG,유격수,134,131,1101,12,0,214,402,100,0.981 ,0,0,0,-
오태곤,KT,우익수,2,0,7,0,0,1,0,0,1.000 ,0,0,0,-
오태곤,KT,3루수,2,0,11.67,1,0,1,2,1,0.750 ,0,0,0,-
오태곤,KT,좌익수,9,6,48.67,0,0,8,0,0,1.000 ,0,0,0,-
오태곤,KT,1루수,113,85,726.33,8,0,694,71,65,0.990 ,0,0,0,-
윌리엄슨,삼성,중견수,2,2,16,0,0,6,0,0,1.000 ,0,0,0,-
윌리엄슨,삼성,좌익수,13,12,104,2,0,24,0,0,0.923 ,0,0,0,-
윌리엄슨,삼성,우익수,21,21,176.33,0,0,55,1,0,1.000 ,0,0,0,-
윌슨,롯데,2루수,4,2,15.67,0,0,5,6,1,1.000 ,0,0,0,-
윌슨,롯데,1루수,13,12,104,0,0,100,11,9,1.000 ,0,0,0,-
윌슨,롯데,3루수,51,48,415,4,0,35,70,8,0.963 ,0,0,0,-
유강남,LG,포수,128,115,968.33,7,0,757,61,9,0.992 ,5,84,25,22.9
유민상,KIA,1루수,38,31,285,3,0,283,18,28,0.990 ,0,0,0,-
유영준,NC,3루수,1,0,2,0,0,0,1,0,1.000 ,0,0,0,-
유영준,NC,1루수,2,1,8,0,0,12,1,0,1.000 ,0,0,0,-
유장혁,한화,중견수,11,4,38,0,0,12,0,0,1.000 ,0,0,0,-
유장혁,한화,좌익수,14,11,99.33,0,0,23,0,0,1.000 ,0,0,0,-
유재신,KIA,1루수,2,0,7,0,0,9,0,0,1.000 ,0,0,0,-
유재신,KIA,우익수,6,1,16,0,0,7,0,0,1.000 ,0,0,0,-
유재신,KIA,중견수,7,1,18,0,0,3,0,0,1.000 ,0,0,0,-
유재신,KIA,좌익수,38,7,114.67,1,0,24,0,0,0.960 ,0,0,0,-
유한준,KT,좌익수,1,1,6,0,0,0,0,0,-,0,0,0,-
유한준,KT,우익수,51,48,382.67,2,0,81,4,1,0.977 ,0,0,0,-
윤석민,KT,3루수,22,18,129.67,4,0,12,22,0,0.895 ,0,0,0,-
윤석민,KT,1루수,31,20,179,1,0,179,11,21,0.995 ,0,0,0,-
윤수강,NC,포수,2,0,6,1,0,4,0,0,0.800 ,0,0,0,-
