순위,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
17,민병헌,롯데,중견수,98,89,770 2/3,1,0,180,3,1,0.995,0,0,0,-
18,박건우,두산,중견수,95,93,777 1/3,1,0,184,1,1,0.995,0,0,0,-
19,구자욱,삼성,우익수,94,93,789 2/3,4,0,164,11,1,0.978,0,0,0,-
20,이형종,LG,중견수,86,83,662 1/3,0,0,181,5,1,1,0,0,0,-
21,김동엽,SK,좌익수,80,71,580 1/3,3,0,102,3,0,0.972,0,0,0,-
22,김강민,SK,중견수,79,62,561,2,0,126,2,0,0.985,0,0,0,-
23,초이스,넥센,우익수,78,75,664 1/3,2,0,122,3,1,0.984,0,0,0,-
23,유한준,KT,우익수,78,74,606,0,0,119,1,0,1,0,0,0,-
25,권희동,NC,좌익수,75,54,491 1/3,0,0,124,4,2,1,0,0,0,-
25,김현수,LG,좌익수,75,56,518 2/3,0,0,119,2,1,1,0,0,0,-
27,김규민,넥센,좌익수,74,43,441 2/3,4,0,101,5,0,0.964,0,0,0,-
28,강백호,KT,좌익수,71,67,535 1/3,6,0,111,7,1,0.952,0,0,0,-
29,노수광,SK,중견수,66,59,492,1,0,134,1,0,0.993,0,0,0,-
29,이천웅,LG,좌익수,66,46,389,0,0,90,3,0,1,0,0,0,-
29,양성우,한화,좌익수,66,52,458,1,0,102,3,1,0.991,0,0,0,-
32,정진호,두산,좌익수,61,21,242,0,0,60,1,0,1,0,0,0,-
33,노수광,SK,좌익수,58,41,362 1/3,0,0,62,5,0,1,0,0,0,-
33,안익훈,LG,중견수,58,25,274,0,0,59,1,1,1,0,0,0,-
35,조수행,두산,우익수,57,13,209 2/3,1,0,48,1,0,0.98,0,0,0,-
36,오태곤,KT,좌익수,55,39,332,0,0,68,0,0,1,0,0,0,-
37,정진호,두산,우익수,54,39,348,0,0,76,2,0,1,0,0,0,-
38,이우성,NC,좌익수,53,32,275 1/3,4,0,67,1,0,0.944,0,0,0,-
39,이명기,KIA,좌익수,52,20,222 1/3,0,0,49,2,0,1,0,0,0,-
39,이정후,넥센,우익수,52,40,353 1/3,2,0,70,1,0,0.973,0,0,0,-
41,박준태,KIA,우익수,48,24,248,2,0,71,2,1,0.973,0,0,0,-
41,고종욱,넥센,좌익수,48,46,347 2/3,3,0,83,1,0,0.966,0,0,0,-
43,조수행,두산,중견수,47,20,236 2/3,0,0,83,1,0,1,0,0,0,-
44,이정후,넥센,좌익수,46,30,294 2/3,2,0,58,2,1,0.968,0,0,0,-
45,이천웅,LG,중견수,44,34,296 1/3,1,0,85,0,0,0.988,0,0,0,-
45,이진영,KT,우익수,44,34,271,0,0,50,1,0,1,0,0,0,-
47,이정후,넥센,중견수,42,36,277,1,0,70,4,0,0.987,0,0,0,-
48,최진행,한화,좌익수,41,29,257 2/3,1,0,62,0,0,0.984,0,0,0,-
49,권희동,NC,중견수,40,35,286 1/3,0,0,53,1,0,1,0,0,0,-
50,최원준,KIA,우익수,37,20,168 1/3,2,0,50,3,1,0.964,0,0,0,-
51,정진기,SK,우익수,35,14,146 1/3,0,0,36,1,0,1,0,0,0,-
52,정진기,SK,중견수,33,20,196 2/3,3,0,38,0,0,0.927,0,0,0,-
53,노수광,SK,우익수,32,19,174 1/3,1,0,35,1,0,0.973,0,0,0,-
54,김인태,두산,우익수,31,25,179 1/3,1,0,40,0,0,0.976,0,0,0,-
54,이종욱,NC,좌익수,31,26,213 1/3,0,0,38,2,1,1,0,0,0,-
